nom,circonscription,nuance,etiquette,sortant,d_naissance,age,mandats,profession,photo,lien,ordre,nombis
Sébastien El Debs,1311,SE,SE,non,08/11/1995,26,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Sébastien El Debs
Céline Fanfan,1311,SE,SE,non,18/07/1970,51,Pas d'autre mandat connu,Employé civil et agent de service de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Céline Fanfan
Rodolph Castel,1311,SE,SE,non,18/11/1974,47,Pas d'autre mandat connu,Cadre administratif et commercial d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Rodolph Castel
Audrey Castanet,1312,SE,SE,non,08/02/1981,41,Pas d'autre mandat connu,Profession intermédiaire administrative de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Audrey Castanet
Faouzi Djedou,1312,SE,SE,non,21/03/1969,53,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Faouzi Djedou
Hervé Delespaul,1312,SE,SE,non,03/09/1957,64,Pas d'autre mandat connu,Ancien cadre,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Hervé Delespaul
Stéphane Ribeiro,1312,SE,SE,non,31/07/1970,51,Pas d'autre mandat connu,Ingénieur et cadre technique d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Stéphane Ribeiro
Stéphanie Busson,1313,SE,SE,non,29/04/1974,48,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Stéphanie Busson
Olivia Franzi,1313,SE,SE,non,23/12/1980,41,Pas d'autre mandat connu,Profession intermédiaire administrative de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Olivia Franzi
Francis Lopez,1313,SE,SE,non,29/06/1960,61,Pas d'autre mandat connu,Technicien,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Francis Lopez
Alain Kavazian,1314,SE,SE,non,08/01/1955,67,Pas d'autre mandat connu,Technicien,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Alain Kavazian
Charlotte de Busschere,1314,SE,SE,non,19/08/1965,56,Pas d'autre mandat connu,"Professeur, profession scientifique",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Charlotte de Busschere
Rémi Bourgarel,1314,SE,SE,non,27/05/1967,54,Pas d'autre mandat connu,Ingénieur et cadre technique d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Rémi Bourgarel
Fabrice Bonin,1314,SE,SE,non,04/04/1968,54,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Fabrice Bonin
Tanguy Vernay,1315,SE,France évolution,non,02/06/1982,39,Pas d'autre mandat connu,Commerçant et assimilé,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Tanguy Vernay
Simone Charin,1315,SE,SE,non,05/02/1944,78,Pas d'autre mandat connu,"Ancien artisan, commerçant, chef d'entreprise",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Simone Charin
Nadia Oukkal,1315,SE,SE,non,01/05/1965,57,Pas d'autre mandat connu,Employé administratif d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Nadia Oukkal
Nicolas Lapeyre,1315,SE,SE,non,28/12/1987,34,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Nicolas Lapeyre
Mounia Banderier-Zahir,1315,SE,SE,non,05/01/1982,40,Pas d'autre mandat connu,Employé civil et agent de service de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Mounia Banderier-Zahir
Jean-Baptiste Meloni,1316,SE,SE,non,29/03/1988,34,Pas d'autre mandat connu,Artisan,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Jean-Baptiste Meloni
Grégory Sanchez,1316,SE,SE,non,10/05/1979,43,Pas d'autre mandat connu,Employé administratif d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Grégory Sanchez
Céline Caravellazi,1301,SE,Droite souverainiste,non,18/06/1974,47,Pas d'autre mandat connu,Artisan,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Céline Caravellazi
