Monument,Adresse,Longitude,Latitude,Source
Immeuble,"16 rue Héré
",48.69408,6.183113,https://www.pop.culture.gouv.fr/notice/merimee//PA00106218
Immeuble,"17 rue Héré
",48.694116,6.182658,https://www.pop.culture.gouv.fr/notice/merimee//PA00106219
Immeuble,"18 rue Héré
",48.694133,6.183079,https://www.pop.culture.gouv.fr/notice/merimee//PA00106220
Immeuble,"19 rue Héré
",48.694161,6.18263,https://www.pop.culture.gouv.fr/notice/merimee//PA00106221
Immeuble,"20 rue Héré
",48.694178,6.183046,https://www.pop.culture.gouv.fr/notice/merimee//PA00106222
Immeuble,"21 rue Héré
",48.694212,6.182595,https://www.pop.culture.gouv.fr/notice/merimee//PA00106223
Immeuble,"22 rue Héré
",48.694224,6.183013,https://www.pop.culture.gouv.fr/notice/merimee//PA00106224
Immeuble,"23 rue Héré
",48.694259,6.182562,https://www.pop.culture.gouv.fr/notice/merimee//PA00106225
Immeuble,"24 rue Héré
",48.694273,6.182979,https://www.pop.culture.gouv.fr/notice/merimee//PA00106226
Immeuble,"26 rue Héré
",48.694318,6.182949,https://www.pop.culture.gouv.fr/notice/merimee//PA00106227
Immeuble,"28 rue Héré
",48.694364,6.182916,https://www.pop.culture.gouv.fr/notice/merimee//PA00106228
Immeuble,"1 rue Jeannot
",48.689771,6.187996,https://www.pop.culture.gouv.fr/notice/merimee//PA00106229
Synagogue,"19 boulevard Joffre
",48.6876,6.1789,https://www.pop.culture.gouv.fr/notice/merimee//PA00106319
Villa Fruhinsholz,"77 avenue du Général-Leclerc
",48.6794,6.181,https://www.pop.culture.gouv.fr/notice/merimee//PA00106454
Villa Bonnabel,"107, 111 avenue du Général-Leclerc
",48.6754,6.1767,https://www.pop.culture.gouv.fr/notice/merimee//PA00106321
Immeuble,"40 cours Léopold
",48.696768,6.175953,https://www.pop.culture.gouv.fr/notice/merimee//PA00106230
Immeuble,"48 cours Léopold
",48.697492,6.175531,https://www.pop.culture.gouv.fr/notice/merimee//PA00106231
Maison Bloch,"50 cours Léopold
",48.6976,6.1754,https://www.pop.culture.gouv.fr/notice/merimee//PA00106232
Maison Chardot,"52 cours Léopold
",48.697713,6.175336,https://www.pop.culture.gouv.fr/notice/merimee//PA00106233
Immeuble,"54 cours Léopold
",48.697862,6.175379,https://www.pop.culture.gouv.fr/notice/merimee//PA54000022
Porte Desilles,"Cours Léopold - place de Luxembourg
",48.698,6.1742,https://www.pop.culture.gouv.fr/notice/merimee//PA00106314
Siege Societe Hauts-Fourneaux Fonderies,"91 avenue de la Libération
",48.6935,6.165,https://www.pop.culture.gouv.fr/notice/merimee//PA54000058
Immeuble Bergeret,"24 rue Lionnois
",48.683704,6.193172,https://www.pop.culture.gouv.fr/notice/merimee//PA00106234
Maison Atelier Vallin,"6 boulevard Lobau
",48.690138,6.193194,https://www.pop.culture.gouv.fr/notice/merimee//PA00106235
Immeuble,"8 boulevard Lobau
",48.68988,6.193188,https://www.pop.culture.gouv.fr/notice/merimee//PA00132637
Maison Huot,"92, 92bis quai Claude-le-Lorrain
",48.698722,6.170083,https://www.pop.culture.gouv.fr/notice/merimee//PA00106184
Immeuble,"1 rue Lyautey
",48.693724,6.184713,https://www.pop.culture.gouv.fr/notice/merimee//PA00106238
Immeuble,"3 rue Lyautey
",48.69385,6.185094,https://www.pop.culture.gouv.fr/notice/merimee//PA00106239
Hotel Baron Vincent,"5 rue Lyautey
",48.693951,6.185394,https://www.pop.culture.gouv.fr/notice/merimee//PA00106240
Immeuble,"5bis rue Lyautey
",48.69408,6.185842,https://www.pop.culture.gouv.fr/notice/merimee//PA00106241
Maison Lecreulx,"6 rue Lyautey
",48.693678,6.18534,https://www.pop.culture.gouv.fr/notice/merimee//PA00106242
Immeuble,"7 rue Lyautey
",48.694153,6.185963,https://www.pop.culture.gouv.fr/notice/merimee//PA00106243
Immeuble,"9 rue Lyautey
",48.694209,6.186174,https://www.pop.culture.gouv.fr/notice/merimee//PA00106244
Immeuble,"10 rue Lyauteyplace d'Alliance
",48.69413,6.186638,https://www.pop.culture.gouv.fr/notice/merimee//PA00106245
Immeuble,"11 rue Lyautey
",48.694254,6.186295,https://www.pop.culture.gouv.fr/notice/merimee//PA00106246
Immeuble,"11bis rue Lyautey
",48.694285,6.186402,https://www.pop.culture.gouv.fr/notice/merimee//PA00106247
Immeuble,"12 rue Lyautey
",48.694229,6.187,https://www.pop.culture.gouv.fr/notice/merimee//PA00106248
Immeuble,"13 rue Lyautey
",48.694337,6.186563,https://www.pop.culture.gouv.fr/notice/merimee//PA00106249
Hotel Grand Chantre,"1 rue Mablyrue du Manège
",48.691006,6.187223,https://www.pop.culture.gouv.fr/notice/merimee//PA00106250
Hotel grand Doyen,"9 rue Mably
",48.690493,6.187744,https://www.pop.culture.gouv.fr/notice/merimee//PA00106125
